"Candidato","Partido","Ordem","Círculo","Efectivo/Suplente"
"António Jorge Feio Bacelar Vilar","PS- Partido Socialista",19,"Aveiro","Suplente"
"Ana Maria da Silva","PS- Partido Socialista",20,"Aveiro","Suplente"
"Maria Manuela Gama do Rio Tomaz Oliveira","PS- Partido Socialista",21,"Aveiro","Suplente"
"André Miguel da Silva Ferreira","VP- Volt Portugal",1,"Aveiro","Efectivo"
"Inês Carolina Reis dos Santos","VP- Volt Portugal",2,"Aveiro","Efectivo"
"Virgílio António Couceiro da Cruz Nogueira","VP- Volt Portugal",3,"Aveiro","Efectivo"
"Ana Rita Granja Cortez","VP- Volt Portugal",4,"Aveiro","Efectivo"
"Rui Hermes Martins Fernandes Nunes","VP- Volt Portugal",5,"Aveiro","Efectivo"
"Mariana Estorninho Reis","VP- Volt Portugal",6,"Aveiro","Efectivo"
"Ricardo Romeu Pereira Ferrão das Neves","VP- Volt Portugal",7,"Aveiro","Efectivo"
"Luna Fernandes Barreto","VP- Volt Portugal",8,"Aveiro","Efectivo"
"Rui Adriano Paiva de Brito Sousa","VP- Volt Portugal",9,"Aveiro","Efectivo"
"Ana Cristina Rodrigues Vicente","VP- Volt Portugal",10,"Aveiro","Efectivo"
"Jorge Manuel Alves Cabaço dos Reis","VP- Volt Portugal",11,"Aveiro","Efectivo"
"Sílvia Maria Pinto Serafim","VP- Volt Portugal",12,"Aveiro","Efectivo"
"José Diogo Pedrosa Liceia","VP- Volt Portugal",13,"Aveiro","Efectivo"
"Cristina Maria Ramos Coelho","VP- Volt Portugal",14,"Aveiro","Efectivo"
"Rui Filipe da Silva Marques","VP- Volt Portugal",15,"Aveiro","Efectivo"
"Diana Matias da Cunha Gil Ferreira","VP- Volt Portugal",16,"Aveiro","Efectivo"
"Mário Jorge Galante Miranda","VP- Volt Portugal",17,"Aveiro","Suplente"
"Maria Madalena Cadima Leite da Silva","VP- Volt Portugal",18,"Aveiro","Suplente"
"Jorge Manuel de Valsassina Alveias Rodrigues","CH- CHEGA",1,"Aveiro","Efectivo"
"Hugo Daniel Martins de Sousa","CH- CHEGA",2,"Aveiro","Efectivo"
"Maria Dulce Simões de Santiago Miranda","CH- CHEGA",3,"Aveiro","Efectivo"
"Miguel Duarte Vita Martins da Cruz","CH- CHEGA",4,"Aveiro","Efectivo"
"Carlos Manuel da Costa Cerveira Vasques","CH- CHEGA",5,"Aveiro","Efectivo"
"Ana Bela de Jesus Bernardino","CH- CHEGA",6,"Aveiro","Efectivo"
"Alfredo Manuel Saraiva Correia","CH- CHEGA",7,"Aveiro","Efectivo"
"Luís Miguel de Campos Castro","CH- CHEGA",8,"Aveiro","Efectivo"
"Íris Vanessa da Silva Santos Marques","CH- CHEGA",9,"Aveiro","Efectivo"
"Miguel Branco Santos Alves","CH- CHEGA",10,"Aveiro","Efectivo"
